id; variant; power; real_weight; official_weight; options; start_date; model_id
1000;ABARTH 124 SPIDER 1,4T;170;1136;1060;;2017-01-01;100
101000;695 BIPOSTO;190;1061;997;B.CRABOT - VITRES POLY - FULL OPTIONS;2015-01-01;10100
102000;500C ABARTH BVA;140;1158;1097;;2013-01-01;10200
102001;500C ABARTH BVM;140;1140;1085;;2010-01-01;10200
102002;500C COMPETIZIONE 595;160;1168;1090;BA;2014-01-01;10200
103000;500;140;1106;1035;;2013-01-01;10300
103001;500 595;145;1134;1035;;2017-01-01;10300
103002;500 COMPETIZIONE 595;160;1122;1035;;2014-01-01;10300
103003;500 COMPETIZIONE 595 BVM;180;1110;1035;;2015-01-01;10300
103004;500 COMPETIZIONE 595 PACK PERF;180;1115;1045;PONT AUTOBLOQUANT - BAQUETS SABELT;2018-01-01;10300
103005;500 ESSEESSSE;160;1124;1035;;2009-01-01;10300
2000;STELVIO 2,0 TURBO Q4;280;1756;1660;20"";2017-01-01;200
2001;STELVIO 2,2D Q4 LUSSO;210;1782;1584;;2018-01-01;200
201000;SPIDER 2,0 TS;155;1400;1350;;2001-01-01;20100
201001;SPIDER V6 3,0 12V;192;1436;1420;;2001-01-01;20100
202000;RZ V6 3,0;210;1325;1260;;1993-01-01;20200
203000;MITO 1,4 MULTIAIR;135;1220;1135;;2013-01-01;20300
203001;MITO 1,4 T JET;155;1260;1175;;2010-01-01;20300
203002;MITO QV;170;1255;1145;;2013-01-01;20300
203003;MITO QV 1,4T BVA;170;1276;1170;;2015-01-01;20300
204000;GUILIETTA 2,0 JTDm EXCLUSIVE TCT;170;1494;1340;;2014-01-01;20400
204001;GUILIETTA 2,0 JTDm EXCLUSIVE TCT;175;1490;1335;;2015-01-01;20400
204002;GUILIETTA QV BVA;240;1465;1395;BOITE AUTO;2014-01-01;20400
205000;GTV V6 2,0 T;200;1422;1430;;1996-01-01;20500
205001;GTV V6 24S;220;1430;1415;;2000-01-01;20500
206000;GIULIETTA QV BVM;235;1436;1395;;2013-01-01;20600
207000;GIULIA 2,0 TB LUSSO;200;1614;1429;;2017-01-01;20700
207001;GIULIA 2,2D Q4 VELOCE;210;1650;1535;BOITE AUTO;2017-01-01;20700
207002;GIULIA QV V6 3,0TT;510;1700;1524;BOITE AUTO - CERAMIQUES-BAQUETS CARBONE;2017-01-01;20700
207003;GIULIA QV V6 3,0TT;510;1673;1505;BOITE MANUELLE-CERAMIQUES-BAQUETS CARBONE;2017-01-01;20700
207004;GIULIA VELOCE Q4;280;1628;1530;;2018-01-01;20700
208000;BRERA 2,2 JTS;185;1620;1470;;2010-01-01;20800
208001;BRERA 3,2 V6 Q4;260;1780;1630;;2008-01-01;20800
208002;BRERA SPIDER 2,2JTS BM;185;1657;1530;TRACTION;2007-01-01;20800
208003;BRERA SPIDER 3,2 V6 Q4;260;1830;1690;;2009-01-01;20800
209000;ALFETTA GTV6 2,5;160;1215;1210;;1985-01-01;20900
2010000;ALFASUD 1,3 Ti;86;920;895;;1983-01-01;201000
2010001;ALFASUD SPRINT 1,7QV;118;930;915;;1988-01-01;201000
2011000;90 2,5 V6;156;1230;1170;;1984-01-01;201100
2012000;75 TURBO 1,8;155;1160;1130;;1986-01-01;201200
2012001;75 V6 3,0 AMERICA;188;1300;1250;;1987-01-01;201200
2013000;4C;240;1016;895;18-19"" CLIM RADIO;2014-01-01;201300
2014000;33 S 16V PERMANENT 4;137;1070;1065;;1991-01-01;201400
2015000;GT 3,2 V6 24V;240;1427;1410;;2003-01-01;201500
2015001;GTV 3,2 V6;240;1416;1445;;2003-01-01;201500
2016000;BERLINE 1750;118;1120;1080;;1971-01-01;201600
2016001;BRERA 1750 Tbi;200;1605;1430;TOIT PANORAMIQUE - 19"";2010-01-01;201600
2017000;166 3,0 24V;226;1617;1510;;2002-01-01;201700
2017001;166 3,2L V6;240;1620;1540;;2004-01-01;201700
2018000;164 3,0 24V;210;1510;1434;;1993-01-01;201800
2018001;164 3,0 QV;200;1450;1430;;1990-01-01;201800
2018002;164 3,0 V6;184;1390;1350;;1991-01-01;201800
2018003;164 V6 2,0 TURBO;210;1450;1430;;1991-01-01;201800
2019000;159 1750;200;1590;1430;;2010-01-01;201900
2019001;159 STATION WAGON V6 3,2L Q4;260;1814;1730;QUATTRO;2006-01-01;201900
2020000;156 2,5 V6 24V BERLINE;192;1367;1320;;2002-01-01;202000
2020001;156 GTA;250;1438;1410;;2004-01-01;202000
2020002;156 GTA SW;250;1513;1460;;2002-01-01;202000
2021000;155 2,0 TWINSPARK;150;1264;1300;;1995-01-01;202100
2021001;155 Q4;190;1425;1390;;1993-01-01;202100
3000;D5 BITURBO F10 6L;350;1930;1865;;2012-01-01;300
301000;D3 BERLINE E90;200;1492;1460;;2006-01-01;30100
301001;D3 BITURBO COUPE E92;214;1575;1555;;2009-01-01;30100
301002;D3 BITURBO XDRIVE TOURING;350;1850;1725;;2013-01-01;30100
302000;C2 2,5L;185;1188;1130;;1985-01-01;30200
302001;C2 2,7L;210;1190;1160;;1986-01-01;30200
303000;B3S BITURBO BREAK ALLRAD;440;1854;1770;AWD TOIT PANORAMIQUE;2018-01-01;30300
303001;B3S BITURBO E92;400;1627;1560;;2010-01-01;30300
303002;B5 BITURBO TOURING ALLRAD;608;2128;2045;;2018-01-01;30300
304000;B9 3,5L;245;1354;1374;;1985-01-01;30400
305000;B7 BITURBO E24;330;1535;1515;;1986-01-01;30500
305001;B7 BITURBO E28;300;1447;1400;;1985-01-01;30500
305002;B7 BITURBO E28;330;1560;1410;;1988-01-01;30500
305003;B7 BITURBO V8 4,4;507;2104;2040;;2010-01-01;30500
305004;B7 BITURBO V8 4,4;608;2127;2035;TOE - ALLROAD;2016-01-01;30500
305005;B7 V8 4,4 K;500;2051;1970;TOE - 21"";2004-01-01;30500
306000;B6S 3,5L;261;1300;1270;;1988-01-01;30600
307000;B6 2,8 E30;210;1230;1220;;1985-01-01;30700
307001;B6 BITURBO COUPE 50eme ANNIV;600;1948;1870;;2015-01-01;30700
307002;B6 BITURBO V8;540;1967;1950;;2012-01-01;30700
308000;B5S V8 4,4L;530;1883;1720;;2008-01-01;30800
309000;B5 BITURBO V8 4,4;507;1992;1920;;2011-01-01;30900
309001;B5 BITURBO V8 4,4;540;2000;1920;;2012-01-01;30900
309002;B5 V8 4,4L KOMPRESSOR;500;1813;1720;TOE;2005-01-01;30900
3010000;B3 3,2L E36 BERLINE BM;265;1460;1330;;1996-01-01;301000
3010001;B3 3,3L E46 BERLINE;280;1495;1450;;1999-01-01;301000
3010002;B3 BITURBO BREAK ALLRAD;410;1841;1670;AWD;2013-01-01;301000
3010003;B3 BITURBO E90;360;1618;1570;TOE;2007-01-01;301000
3010004;B3 BITURBO E91 BREAK;360;1697;1640;TOE;2009-01-01;301000
3010005;B3 BITURBO F30;410;1677;1535;;2014-01-01;301000
3010006;B3 GT3 E92;408;1586;1535;;2012-01-01;301000
3011000;B12 V12 5,0L E32;350;1875;1855;;1989-01-01;301100
3011001;B12 V12 6,0L;430;2112;2010;;1999-01-01;301100
3012000;B10 BITURBO E34 3,4L;360;1765;1695;;1990-01-01;301200
3012001;B10 E39 V8 4,6L;340;1734;1660;;1997-01-01;301200
4000;TT-RS;340;1474;1450;BAQUETS;2010-01-01;400
